brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Maruti,Manual,2022,Petrol,7.288244401020124,15994.0,1st owner,13.67854584967945,9.71709773156622,Yes,Ciaz,3
Honda,Manual,2016,Petrol,7.311886164077165,72308.0,1st owner,13.167338655091122,9.232688775639945,No,City,9
Honda,Manual,2018,Petrol,7.090076835776092,27051.0,1st owner,13.151924121391561,9.217216675915616,Yes,Amaze,7
Tata,Manual,2018,Petrol,7.090076835776092,35764.0,1st owner,12.95039048795861,9.015784277513886,No,TIAGO,7
Renault,Manual,2021,Petrol,6.907755278982137,46375.0,2nd owner,13.390864159490155,9.45634070543332,No,Kiger,4
KIA,Manual,2019,Petrol,7.088408778675395,90505.0,1st owner,13.795308871054397,9.833815879286808,No,SELTOS,6
MG,Automatic,2019,Petrol,7.280697195384741,14172.0,1st owner,14.06860196204365,10.107040454085334,No,HECTOR,6
Maruti,Manual,2020,Petrol,7.088408778675395,27841.0,1st owner,13.272507757002963,9.338645632129106,No,Baleno,5
Tata,Manual,2021,Diesel,7.513709247839705,30203.0,1st owner,14.139404735705671,10.146918907547057,Yes,Safari,4
Maruti,Manual,2021,Petrol,7.088408778675395,25742.0,1st owner,13.073175234051686,9.13852208418571,No,IGNIS,4
Honda,Manual,2015,Petrol,7.089243155027514,91116.0,2nd owner,12.676079399771027,8.742733867330168,No,Amaze,10
Tata,Manual,2020,Petrol,7.090076835776092,30274.0,2nd owner,13.296318365198623,9.36142922633904,No,ALTROZ,5
Renault,Automatic,2021,Petrol,6.907755278982137,30195.0,1st owner,13.47442911525415,9.540003766668065,No,Kiger,4
KIA,Manual,2022,Petrol,7.311886164077165,51566.0,1st owner,13.96565407697882,10.003966171102347,No,SELTOS,3
KIA,Manual,2022,Petrol,6.906754778648554,4763.0,1st owner,13.796328757914972,9.83483390921908,Yes,SONET,3
Hyundai,Manual,2023,Petrol,7.088408778675395,20051.0,1st owner,13.698977865303197,9.737491998340946,Yes,NEW,2
Volkswagen,Manual,2019,Petrol,6.907755278982137,68763.0,1st owner,13.188152990599754,9.25349564229011,Yes,Polo,6
